"Player","Team","Position","From","To","Date (CEST)","Gameweek"
"Matthew Lowton","BUR","D","Nimma Koempels","Redford United","Thu Dec 31, 2020, 6:15AM","17"
"John McGinn","AVL","M","Redford United","Nimma Koempels","Thu Dec 31, 2020, 6:15AM","17"
"James McArthur","CRY","M","NOAD Athletic","Nimma Koempels","Tue Dec 29, 2020, 2:10PM","17"
"Harvey Barnes","LEI","M,F","Nimma Koempels","NOAD Athletic","Tue Dec 29, 2020, 2:10PM","17"
"Harry Kane","TOT","F","SSC Fugazi","Sjeeterboys","Mon Dec 28, 2020, 12:01AM","16"
"Ross Barkley","CHE/AVL","M","Sjeeterboys","SSC Fugazi","Mon Dec 28, 2020, 12:01AM","16"
"Marcus Rashford","MUN","M,F","BarcelOna '53","Poor Man's Pirlo","Sat Dec 19, 2020, 9:31AM","14"
"Thiago Alcântara","LIV","M","BarcelOna '53","Poor Man's Pirlo","Sat Dec 19, 2020, 9:31AM","14"
"Tanguy Ndombele","TOT","M,F","Poor Man's Pirlo","BarcelOna '53","Sat Dec 19, 2020, 9:31AM","14"
"Bruno Fernandes","MUN","M","Poor Man's Pirlo","BarcelOna '53","Sat Dec 19, 2020, 9:31AM","14"
"Aaron Cresswell","WHU","D","Athletic de Bapao","NOAD Athletic","Mon Nov 9, 2020, 8:18AM","9"
"Pierre-Emerick Aubameyang","ARS","M,F","NOAD Athletic","Athletic de Bapao","Mon Nov 9, 2020, 8:18AM","9"
"Jack Grealish","AVL","M,F","Nimma Koempels","Sjeeterboys","Mon Nov 2, 2020, 4:05PM","8"
"Trent Alexander-Arnold","LIV","D","Sjeeterboys","Nimma Koempels","Mon Nov 2, 2020, 4:05PM","8"
"Jorginho","CHE","M","BarcelOna '53","NOAD Athletic","Tue Sep 15, 2020, 4:14PM","2"
"Youri Tielemans","LEI","M","NOAD Athletic","BarcelOna '53","Tue Sep 15, 2020, 4:14PM","2"
