"Player","Team","Position","Type","Team","Bid","Pr","Date (CEST)","Gameweek"
"Igor Julio","BHA","D","Claim","Sjeeterboys","0.00","12","Fri May 17, 2024, 12:00PM","38"
"Emerson Royal","TOT","D,M","Drop","Sjeeterboys","","12","Fri May 17, 2024, 12:00PM","38"
"Amad Diallo","MUN","M,F","Claim","Sjeeterboys","0.00","6","Fri May 17, 2024, 12:00PM","38"
"Antony","MUN","M,F","Drop","Sjeeterboys","","6","Fri May 17, 2024, 12:00PM","38"
"Takehiro Tomiyasu","ARS","D","Claim","Sjeeterboys","0.00","4","Fri May 17, 2024, 12:00PM","38"
"John Stones","MCI","D,M","Drop","Sjeeterboys","","4","Fri May 17, 2024, 12:00PM","38"
"Adam Webster","BHA","D","Claim","Sjeeterboys","0.00","3","Fri May 17, 2024, 12:00PM","38"
"Levi Colwill","CHE","D","Drop","Sjeeterboys","","3","Fri May 17, 2024, 12:00PM","38"
"Christopher Nkunku","CHE","F","Claim","Sjeeterboys","0.00","2","Fri May 17, 2024, 12:00PM","38"
"Richarlison","TOT","M,F","Drop","Sjeeterboys","","2","Fri May 17, 2024, 12:00PM","38"
"Chris Wood","NOT","F","Claim","Poor Man's Pirlo","0.00","5","Fri May 17, 2024, 12:00PM","38"
"Callum Wilson","NEW","F","Drop","Poor Man's Pirlo","","5","Fri May 17, 2024, 12:00PM","38"
"John McGinn","AVL","M,F","Claim","Klimmania","80.00","2","Fri May 17, 2024, 12:00PM","38"
"Lewis Cook","BOU","M","Drop","Klimmania","","2","Fri May 17, 2024, 12:00PM","38"
"Jarell Quansah","LIV","D","Claim","Klimmania","16.00","1","Fri May 17, 2024, 12:00PM","38"
"Wilson Odobert","BUR","M,F","Drop","Klimmania","","1","Fri May 17, 2024, 12:00PM","38"
"Fabian Schar","NEW","D","Claim","Poor Man's Pirlo","17.00","1","Fri May 17, 2024, 12:00PM","38"
"Valentino Livramento","NEW","D","Drop","Poor Man's Pirlo","","1","Fri May 17, 2024, 12:00PM","38"
"Reece James","CHE","D,M","Claim","BarcelOna '53","10.00","1","Fri May 17, 2024, 12:00PM","38"
"Jan-Paul van Hecke","BHA","D","Drop","BarcelOna '53","","1","Fri May 17, 2024, 12:00PM","38"
"Raheem Sterling","CHE","M,F","Claim","One Season Wonderers","3.00","1","Fri May 17, 2024, 12:00PM","38"
