"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"*03aqp*",1,1,1,"F","Mohamed Salah Ghaly","LIV","NOAD Athletic","Aug 4, 2022 8:00:13"
"*02lol*",1,2,2,"F","Harry Kane","TOT","Klimmania","Aug 4, 2022 8:00:26"
"*03v9d*",1,3,3,"F","Heung-Min Son","TOT","Athletic de Bapao","Aug 4, 2022 8:00:57"
"*061vq*",1,4,4,"F","Erling Haaland","MCI","Mövenpickje FC","Aug 4, 2022 8:01:14"
"*03srg*",1,5,5,"D","Trent Alexander-Arnold","LIV","Sjeeterboys","Aug 4, 2022 8:01:44"
"*02oox*",1,6,6,"M","Kevin De Bruyne","MCI","Poor Man's Pirlo","Aug 4, 2022 8:02:26"
"*0570n*",1,7,7,"D","Joao Pedro Cavaco Cancelo","MCI","BarcelOna '53","Aug 4, 2022 8:02:36"
"*045c8*",1,8,8,"F","Gabriel Fernando de Jesus","ARS","Redford United","Aug 4, 2022 8:02:49"
"*05yld*",1,9,9,"F","Luis Diaz","LIV","Nimma Koempels","Aug 4, 2022 8:03:02"
"*02lkp*",1,10,10,"F","Raheem Sterling","CHE","László Hofnár","Aug 4, 2022 8:03:15"
"*04y92*",2,1,11,"M","Bukayo Saka","ARS","László Hofnár","Aug 4, 2022 8:03:32"
"*05gcr*",2,2,12,"M","Bruno Miguel Borges Fernandes","MUN","Nimma Koempels","Aug 4, 2022 8:04:09"
"*061x2*",2,3,13,"F","Darwin Nunez","LIV","Redford United","Aug 4, 2022 8:04:27"
"*03vlj*",2,4,14,"D","Virgil van Dijk","LIV","BarcelOna '53","Aug 4, 2022 8:04:46"
"*051k7*",2,5,15,"D","Reece James","CHE","Poor Man's Pirlo","Aug 4, 2022 8:05:07"
"*056iw*",2,6,16,"F","Allan Saint-Maximin","NEW","Sjeeterboys","Aug 4, 2022 8:05:17"
"*05ylj*",2,7,17,"M","Bruno Guimaraes Rodriguez Moura","NEW","Mövenpickje FC","Aug 4, 2022 8:06:12"
"*03gu5*",2,8,18,"D","Andrew Robertson","LIV","Athletic de Bapao","Aug 4, 2022 8:06:18"
"*0414o*",2,9,19,"M","James Maddison","LEI","Klimmania","Aug 4, 2022 8:06:35"
"*0524k*",2,10,20,"M","Rodrigo Hernandez Cascante","MCI","NOAD Athletic","Aug 4, 2022 8:07:11"
"*03v6w*",3,1,21,"F","Ivan Toney","BRF","NOAD Athletic","Aug 4, 2022 8:07:19"
"*05omu*",3,2,22,"D","Ruben Santos Gato Alves Dias","MCI","Klimmania","Aug 4, 2022 8:08:00"
"*02oq8*",3,3,23,"M","James Ward-Prowse","SOU","Athletic de Bapao","Aug 4, 2022 8:08:16"
"*046c5*",3,4,24,"F","Jarrod Bowen","WHU","Mövenpickje FC","Aug 4, 2022 8:08:42"
"*05ocl*",3,5,25,"F","Ollie Watkins","AVL","Sjeeterboys","Aug 4, 2022 8:09:01"
"*05r9b*",3,6,26,"M","Martin Odegaard","ARS","Poor Man's Pirlo","Aug 4, 2022 8:09:13"
"*0327v*",3,7,27,"F","Wilfried Zaha","CRY","BarcelOna '53","Aug 4, 2022 8:09:52"
"*043c1*",3,8,28,"M","Oleksandr Zinchenko","ARS","Redford United","Aug 4, 2022 8:10:10"
"*03dx3*",3,9,29,"D","Kieran Trippier","NEW","Nimma Koempels","Aug 4, 2022 8:10:29"
"*062p9*",3,10,30,"D","Kalidou Koulibaly","CHE","László Hofnár","Aug 4, 2022 8:10:50"
"*02yhi*",4,1,31,"M","Philippe Coutinho","AVL","László Hofnár","Aug 4, 2022 8:11:08"
"*04yo7*",4,2,32,"M","Youri Tielemans","LEI","Nimma Koempels","Aug 4, 2022 8:11:19"
"*05gcp*",4,3,33,"M","Tomas Soucek","WHU","Redford United","Aug 4, 2022 8:11:29"
"*04tm0*",4,4,34,"D","Lucas Digne","AVL","BarcelOna '53","Aug 4, 2022 8:12:25"
"*052cd*",4,5,35,"M","Mason Mount","CHE","Poor Man's Pirlo","Aug 4, 2022 8:12:50"
"*061yd*",4,6,36,"M","Ivan Perisic","TOT","Sjeeterboys","Aug 4, 2022 8:13:05"
"*05nzu*",4,7,37,"D","Gabriel dos Santos Magalhaes","ARS","Mövenpickje FC","Aug 4, 2022 8:13:51"
"*04abb*",4,8,38,"M","Phil Foden","MCI","Athletic de Bapao","Aug 4, 2022 8:14:01"
"*05opl*",4,9,39,"D","Wesley Fofana","LEI","Klimmania","Aug 4, 2022 8:14:40"
"*05ylx*",4,10,40,"M","Dejan Kulusevski","TOT","NOAD Athletic","Aug 4, 2022 8:15:21"
"*0427d*",5,1,41,"D","James Tarkowski","EVE","NOAD Athletic","Aug 4, 2022 8:15:27"
"*04sjt*",5,2,42,"G","Alisson Ramses Becker","LIV","Klimmania","Aug 4, 2022 8:15:37"
"*03v6t*",5,3,43,"D","Ben Chilwell","CHE","Athletic de Bapao","Aug 4, 2022 8:15:44"
"*0435s*",5,4,44,"D","Joel Matip","LIV","Mövenpickje FC","Aug 4, 2022 8:16:19"
"*05oh2*",5,5,45,"M","Thiago Alcantara do Nascimento","LIV","Sjeeterboys","Aug 4, 2022 8:16:32"
"*05uoc*",5,6,46,"D","Cristian Romero","TOT","Poor Man's Pirlo","Aug 4, 2022 8:16:37"
"*05w7s*",5,7,47,"F","Cristiano Ronaldo dos Santos Aveiro","MUN","BarcelOna '53","Aug 4, 2022 8:17:02"
"*062pl*",5,8,48,"D","Lisandro Martinez","MUN","Redford United","Aug 4, 2022 8:17:08"
"*051k3*",5,9,49,"M","Jacob Ramsey","AVL","Nimma Koempels","Aug 4, 2022 8:17:48"
"*05o4b*",5,10,50,"D","Matty Cash","AVL","László Hofnár","Aug 4, 2022 8:18:11"
"*037wp*",6,1,51,"M","Christian Eriksen","MUN","László Hofnár","Aug 4, 2022 8:18:21"
"*050jq*",6,2,52,"D","Marc Guehi","CRY","Nimma Koempels","Aug 4, 2022 8:18:58"
"*043qz*",6,3,53,"M","Pierre-Emile Hojbjerg","TOT","Redford United","Aug 4, 2022 8:19:09"
"*03vll*",6,4,54,"F","Michail Antonio","WHU","BarcelOna '53","Aug 4, 2022 8:19:15"
"*061v9*",6,5,55,"D","Diego Carlos Santos Silva","AVL","Poor Man's Pirlo","Aug 4, 2022 8:19:29"
"*03r8x*",6,6,56,"F","Callum Wilson","NEW","Sjeeterboys","Aug 4, 2022 8:19:51"
"*051k0*",6,7,57,"M","John McGinn","AVL","Mövenpickje FC","Aug 4, 2022 8:20:06"
"*04qfz*",6,8,58,"D","Jose Diogo Dalot Teixeira","MUN","Athletic de Bapao","Aug 4, 2022 8:20:13"
"*03ybi*",6,9,59,"F","Marcus Rashford","MUN","Klimmania","Aug 4, 2022 8:20:37"
"*05nt7*",6,10,60,"D","Thiago Emiliano da Silva","CHE","NOAD Athletic","Aug 4, 2022 8:20:44"
"*05w9i*",7,1,61,"D","Marc Cucurella","CHE","NOAD Athletic","Aug 4, 2022 8:21:02"
"*0372y*",7,2,62,"D","Matt Targett","NEW","Klimmania","Aug 4, 2022 8:21:23"
"*02m11*",7,3,63,"D","Matt Doherty","TOT","Athletic de Bapao","Aug 4, 2022 8:21:29"
"*03dyk*",7,4,64,"F","Jamie Vardy","LEI","Mövenpickje FC","Aug 4, 2022 8:21:47"
"*0558w*",7,5,65,"D","William Saliba","ARS","Sjeeterboys","Aug 4, 2022 8:22:06"
"*02lm7*",7,6,66,"M","Jack Grealish","MCI","Poor Man's Pirlo","Aug 4, 2022 8:22:21"
"*02lni*",7,7,67,"M","Jesse Lingard","NOT","BarcelOna '53","Aug 4, 2022 8:22:34"
"*03scr*",7,8,68,"F","Aleksandar Mitrovic","FUL","Redford United","Aug 4, 2022 8:22:46"
"*0522h*",7,9,69,"M","Alexis Mac Allister","BHA","Nimma Koempels","Aug 4, 2022 8:23:34"
"*04fk6*",7,10,70,"M","Bernardo Mota Veiga de Carvalho e Silva","MCI","László Hofnár","Aug 4, 2022 8:24:03"
"*04e1e*",8,1,71,"D","Ben White","ARS","László Hofnár","Aug 4, 2022 8:24:53"
"*04tcc*",8,2,72,"D","Jonathan Castro Otto","WOL","Nimma Koempels","Aug 4, 2022 8:25:35"
"*062a9*",8,3,73,"D","Sven Botman","NEW","Redford United","Aug 4, 2022 8:25:45"
"*04spq*",8,4,74,"M","Jack Harrison","LEE","BarcelOna '53","Aug 4, 2022 8:26:27"
"*0633p*",8,5,75,"F","Gianluca Scamacca","WHU","Poor Man's Pirlo","Aug 4, 2022 8:26:36"
"*04e1c*",8,6,76,"D","Lewis Dunk","BHA","Sjeeterboys","Aug 4, 2022 8:26:45"
"*03ena*",8,7,77,"D","Aaron Cresswell","WHU","Mövenpickje FC","Aug 4, 2022 8:27:06"
"*02rll*",8,8,78,"M","Nathan Redmond","SOU","Athletic de Bapao","Aug 4, 2022 8:27:27"
"*05n5p*",8,9,79,"D","Mohammed Salisu","SOU","Klimmania","Aug 4, 2022 8:28:11"
"*03zsq*",8,10,80,"D","Kyle Walker-Peters","SOU","NOAD Athletic","Aug 4, 2022 8:28:33"
"*051lc*",9,1,81,"M","Pablo Fornals","WHU","NOAD Athletic","Aug 4, 2022 8:29:05"
"*052h5*",9,2,82,"F","Gabriel Teodoro Martinelli Silva","ARS","Klimmania","Aug 4, 2022 8:29:31"
"*05mxa*",9,3,83,"D","Joel Veltman","BHA","Athletic de Bapao","Aug 4, 2022 8:29:41"
"*02lsa*",9,4,84,"D","Dan Burn","NEW","Mövenpickje FC","Aug 4, 2022 8:30:36"
"*04io4*",9,5,85,"F","Richarlison de Andrade","TOT","Sjeeterboys","Aug 4, 2022 8:30:53"
"*05o6h*",9,6,86,"M","Kai Havertz","CHE","Poor Man's Pirlo","Aug 4, 2022 8:31:45"
