"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*04u6j*","Martin Montoya","BHA","D,M","210","FA","BHA 2<br/>@BUR 1 F","100","-","-","1","0","1","0","4","0","48","4","8","1"
"*04e1c*","Lewis Dunk","BHA","D","33","KLI","BHA 2<br/>@BUR 1 F","98.83","-","-","1","0","0","0","2","0","67","4","13","1"
"*0327p*","John Lundstram","SHU","D,M","86","RED","SHU 1<br/>@SOU 3 F","97.34","-","-","1","2","0","3","2","0","33","0","6","0"
"*04sau*","Fabian Balbuena","WHU","D","249","FA","AVL 1<br/>@WHU 1 F","89.16","-","-","1","1","0","2","1","0","59","1","6","0"
"*04t3s*","Joao Moutinho","WOL","M","45","MOV","WOL 0<br/>@CHE 2 F","87.78","-","-","1","0","1","1","2","0","44","2","11","0"
"*02lp9*","Kyle Walker","MCI","D","64","BAR","NOR 0<br/>@MCI 5 F","86.44","-","-","1","1","1","1","0","0","67","0","5","0"
"*04u41*","Mateo Kovacic","CHE","M","142","PNP","WOL 0<br/>@CHE 2 F","86.11","-","-","1","0","0","1","2","0","135","1","11","0"
"*04qrc*","Raul Jimenez","WOL","F","20","SJB","WOL 0<br/>@CHE 2 F","85.74","-","-","1","1","0","4","2","0","21","1","2","0"
"*02lk5*","Jordan Henderson","LIV","M","46","PNP","LIV 3<br/>@NEW 1 F","84.85","-","-","1","0","0","0","1","0","78","3","11","0"
"*051l5*","John Fleck","SHU","M","149","FA","SHU 1<br/>@SOU 3 F","84.29","-","-","1","1","0","1","1","0","27","2","8","0"
"*04yim*","Christian Pulisic","CHE","M,F","116","FUG","WOL 0<br/>@CHE 2 F","83.88","-","-","1","1","0","3","0","0","41","0","6","0"
"*02opy*","Adam Lallana","LIV","M","357","FA","LIV 3<br/>@NEW 1 F","83.88","-","-","1","0","0","0","3","0","76","1","11","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","2","ADB","LIV 3<br/>@NEW 1 F","83.55","-","-","1","0","1","0","2","0","52","3","6","0"
"*04s8k*","Jorginho","CHE","M","55","BAR","WOL 0<br/>@CHE 2 F","83.11","-","-","1","0","1","0","1","1","117","3","11","0"
"*04t3u*","Diego Rico","BOU","D,M","61","SJB","BOU 3<br/>@EVE 1 F","82.8","-","-","1","0","0","0","1","0","25","7","5","1"
"*04idk*","Davy Propper","BHA","M","75","RED","BHA 2<br/>@BUR 1 F","82.79","-","-","1","0","0","1","1","0","54","1","15","0"
"*051ki*","Ben Godfrey","NOR","D,M","185","FA","NOR 0<br/>@MCI 5 F","82.3","-","-","1","0","0","0","2","0","43","4","9","0"
