"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*04tm0*","Lucas Digne","EVE","D,M","45","ADB","EVE 0<br/>@MCI 5 F","100","-","-","-","-","2","0","3","0","6","0","74","1","12","2"
"*0522t*","Anwar El Ghazi","AVL","M,F","116","FA","CHE 1<br/>@AVL 2 F","96.81","-","-","-","-","2","1","6","4","2","0","48","0","3","0"
"*03yeg*","Tosin Adarabioyo","MCI/FUL","D","63","MOV","NEW 2<br/>@FUL 0 F","96.8","-","-","-","-","2","0","1","2","3","0","153","3","9","1"
"*04aiz*","Wilfred Ndidi","LEI","D,M","68","BAR","TOT 4<br/>@LEI 2 F","93.87","-","-","-","-","2","0","5","0","5","0","98","5","5","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","20","NIM","CRY 0<br/>@LIV 2 F","91.96","-","-","-","-","2","0","5","1","3","0","127","3","0","1"
"*045c8*","Gabriel Jesus","MCI","F","151","MOV","EVE 0<br/>@MCI 5 F","91.73","-","-","-","-","2","2","2","3","2","0","30","0","1","0"
"*05os8*","Joachim Andersen","FUL","D","109","SJB","NEW 2<br/>@FUL 0 F","91.12","-","-","-","-","2","0","1","2","1","0","142","4","6","1"
"*04jyc*","Davinson Sanchez","TOT","D","220","FA","TOT 4<br/>@LEI 2 F","90.82","-","-","-","-","2","0","0","0","3","0","99","2","11","2"
"*02vlk*","Cesar Azpilicueta","CHE","D,M","75","NOAD","CHE 1<br/>@AVL 2 F","89.82","-","-","-","-","2","0","3","1","1","0","137","1","4","2"
"*02t1b*","Kyle Bartley","WBA","D","123","FA","WBA 1<br/>@LEE 3 F","89.59","-","-","-","-","2","1","1","1","0","0","40","5","7","1"
"*02lol*","Harry Kane","TOT","F","4","SJB","TOT 4<br/>@LEI 2 F","89.47","-","-","-","-","2","1","3","4","1","0","49","0","4","0"
"*02oq6*","Luke Shaw","MUN","D","61","RED","MUN 2<br/>@WOL 1 F","89.38","-","-","-","-","2","0","5","0","2","0","90","2","2","2"
"*03dyp*","Riyad Mahrez","MCI","M,F","88","FUG","EVE 0<br/>@MCI 5 F","89.35","-","-","-","-","2","1","4","2","1","0","93","1","1","0"
"*0327r*","Michael Keane","EVE","D","32","RED","EVE 0<br/>@MCI 5 F","89.27","-","-","-","-","2","0","0","0","2","0","95","3","10","2"
"*03srm*","N'Golo Kante","CHE","M","166","FA","CHE 1<br/>@AVL 2 F","89.27","-","-","-","-","2","0","2","0","8","0","106","6","0","0"
"*052cd*","Mason Mount","CHE","M,F","22","PNP","CHE 1<br/>@AVL 2 F","86.76","-","-","-","-","2","1","4","1","2","0","73","2","0","0"
"*04io4*","Richarlison","EVE","M,F","101","BAR","EVE 0<br/>@MCI 5 F","86.71","-","-","-","-","2","2","0","2","2","0","22","1","3","0"
"*04yo7*","Youri Tielemans","LEI","M","25","BAR","TOT 4<br/>@LEI 2 F","86.71","-","-","-","-","2","1","3","2","3","1","81","1","3","0"
