"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*051k8*","Conor Gallagher","CRY","M","45","MOV","MUN 0<br/>@CRY 1 F","100","-","-","1","2","0","3","3","0","45","1","1","0"
"*04s8k*","Jorginho","CHE","M","93","NIM","WAT 1<br/>@CHE 2 F","96.29","-","-","1","2","0","2","1","0","46","4","1","0"
"*04yo7*","Youri Tielemans","LEI","M","40","BAR","SOU 1<br/>@LEI 4 F","95.81","-","-","1","2","0","2","3","0","50","0","1","0"
"*0414o*","James Maddison","LEI","M,F","16","KLI","SOU 1<br/>@LEI 4 F","87.28","-","-","1","1","1","1","1","0","23","7","0","0"
"*045yy*","Arthur Masuaku","WHU","D,M","307","FA","WHU 1<br/>@BHA 3 F","84.94","-","-","1","0","0","0","2","0","46","6","3","1"
"*0435s*","Joel Matip","LIV","D","21","FUG","WOL 1<br/>@LIV 3 F","83.67","-","-","1","0","0","1","0","0","56","0","6","1"
"*05u4m*","Patson Daka","LEI","F","249","FA","SOU 1<br/>@LEI 4 F","82.69","-","-","1","1","1","1","1","0","8","2","3","0"
"*05tre*","Vitaly Janelt","BRF","M","137","FA","LEE 2<br/>@BRF 1 F","82.64","-","-","1","0","0","1","1","1","63","6","6","0"
"*0570n*","Joao Cancelo","MCI","D,M","8","RED","AVL 2<br/>@MCI 3 F","82.55","-","-","1","0","0","1","3","1","102","3","1","1"
"*05w9r*","Takehiro Tomiyasu","ARS","D","197","ADB","EVE 1<br/>@ARS 5 F","82.26","-","-","1","0","0","1","0","0","52","1","5","1"
"*05w7s*","Cristiano Ronaldo","MUN","F","25","RED","MUN 0<br/>@CRY 1 F","81.84","-","-","1","1","0","2","1","0","29","2","2","0"
"*02lkp*","Raheem Sterling","MCI","M,F","23","PMP","AVL 2<br/>@MCI 3 F","81.75","-","-","1","1","0","3","0","0","38","2","0","0"
"*0524k*","Rodri","MCI","M","34","FUG","AVL 2<br/>@MCI 3 F","81.6","-","-","1","0","0","1","2","1","80","3","6","0"
"*03gu4*","Harry Maguire","MUN","D","165","FA","MUN 0<br/>@CRY 1 F","81.35","-","-","1","0","0","1","0","0","54","0","5","1"
"*03sgc*","Jordan Ayew","CRY","M,F","85","FA","MUN 0<br/>@CRY 1 F","80.99","-","-","1","0","1","1","1","0","37","6","1","0"
"*03vlj*","Virgil van Dijk","LIV","D","35","PMP","WOL 1<br/>@LIV 3 F","80.54","-","-","1","0","0","1","1","1","74","0","5","1"
"*05nzu*","Gabriel Magalhaes","ARS","D","48","KLI","EVE 1<br/>@ARS 5 F","80.33","-","-","1","1","0","1","0","1","35","1","3","1"
"*05tr8*","Christian Norgaard","BRF","M","62","SJB","LEE 2<br/>@BRF 1 F","80.12","-","-","1","0","0","0","6","0","44","2","3","0"
"*0427d*","James Tarkowski","BUR","D","113","BAR","NEW 2<br/>@BUR 1 F","79.5","-","-","1","0","0","1","2","0","18","1","5","1"
"*03aqp*","Mohamed Salah","LIV","F","2","FUG","WOL 1<br/>@LIV 3 F","79.37","-","-","1","1","0","2","0","0","20","6","0","0"
"*04f6o*","Will Hughes","WAT/CRY","M","378","FA","MUN 0<br/>@CRY 1 F","78.99","-","-","1","0","1","0","2","0","39","4","2","0"
"*04mqu*","Aymeric Laporte","MCI","D","89","KLI","AVL 2<br/>@MCI 3 F","78.99","-","-","1","0","0","0","2","0","86","0","2","1"
"*05r9b*","Martin Odegaard","ARS","M,F","63","PMP","EVE 1<br/>@ARS 5 F","77.55","-","-","1","1","0","1","0","0","42","1","2","0"
"*05os7*","Raphinha","LEE","M,F","31","SJB","LEE 2<br/>@BRF 1 F","77.48","-","-","1","1","0","2","1","0","18","2","1","0"
"*05tz8*","Emmanuel Dennis","WAT","M,F","30","BAR","WAT 1<br/>@CHE 2 F","77.33","-","-","1","1","0","1","0","0","8","1","6","0"
"*03gu5*","Andrew Robertson","LIV","D","51","FUG","WOL 1<br/>@LIV 3 F","77.33","-","-","1","0","0","1","0","0","55","1","2","1"
"*02m66*","Marcos Alonso","CHE","D,M","112","NOAD","WAT 1<br/>@CHE 2 F","76.6","-","-","1","0","1","0","3","0","25","3","2","0"
"*05os5*","Alex Telles","MUN","D","163","ADB","MUN 0<br/>@CRY 1 F","75.89","-","-","1","0","0","1","1","0","28","1","3","1"
"*05trb*","Bryan Mbeumo","BRF","M,F","65","PMP","LEE 2<br/>@BRF 1 F","75.85","-","-","1","1","0","2","0","0","18","1","2","0"
"*05tr2*","Pontus Jansson","BRF","D","94","KLI","LEE 2<br/>@BRF 1 F","75.61","-","-","1","1","0","1","1","1","47","1","2","0"
"*02rn6*","James Tomkins","CRY","D","401","FA","MUN 0<br/>@CRY 1 F","75.4","-","-","1","1","0","1","0","0","58","0","0","0"
"*04rhd*","Fabinho","LIV","D,M","124","FA","WOL 1<br/>@LIV 3 F","74.86","-","-","1","0","0","0","2","0","41","2","5","0"
"*03eki*","Cheikhou Kouyate","CRY","D,M","205","FA","MUN 0<br/>@CRY 1 F","74.84","-","-","1","0","0","0","3","0","27","0","7","0"
"*03p9z*","Tyler Roberts","LEE","M,F","347","FA","LEE 2<br/>@BRF 1 F","74.79","-","-","1","0","1","1","3","0","11","4","0","0"
"*04e1e*","Ben White","ARS","D,M","90","RED","EVE 1<br/>@ARS 5 F","74.69","-","-","1","0","0","0","2","0","45","0","2","1"
"*04qqv*","Fred","MUN","M","123","RED","MUN 0<br/>@CRY 1 F","74.28","-","-","1","0","0","0","3","0","59","3","1","0"
"*052cd*","Mason Mount","CHE","M,F","29","BAR","WAT 1<br/>@CHE 2 F","74.12","-","-","1","1","0","2","2","1","24","2","0","0"
"*04tig*","Fabian Schar","NEW","D","193","FA","NEW 2<br/>@BUR 1 F","73.87","-","-","1","0","0","0","0","0","46","1","7","0"
