"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*067yz*","Matheus Cunha","WOL","M,F","8","SJB","BRF 1<br/>@WOL 1 F","100","-","-","1","1","1","2","1","0","50","9","1","0"
"*067yv*","Cody Gakpo","LIV","M,F","84","W_W","CRY 1<br/>@LIV 1 F","92.5","-","-","1","1","2","2","1","0","22","6","1","0"
"*05l8q*","Cole Palmer","CHE","M,F","10","NOAD","CHE 1<br/>@NOT 0 F","90.5","-","-","1","1","1","3","0","0","33","5","0","0"
"*05oh0*","Jan-Paul van Hecke","BHA","D","113","SJB","BHA 4<br/>@TOT 1 F","89.98","-","-","1","0","1","0","3","0","64","1","6","1"
"*0646f*","Alexander Isak","NEW","F","12","PMP","EVE 1<br/>@NEW 0 F","89.83","-","-","1","1","4","2","0","0","22","3","1","0"
"*04fk6*","Bernardo Silva","MCI","M","93","OSW","MCI 2<br/>@FUL 0 F","89.78","-","-","1","1","1","1","3","0","62","1","0","0"
"*03aqp*","Mohamed Salah","LIV","M,F","2","MOV","CRY 1<br/>@LIV 1 F","87.98","-","-","1","1","2","3","0","0","32","2","0","0"
"*06dmj*","Jurrien Timber","ARS","D","115","MOV","ARS 2<br/>@SOU 1 F","87.56","-","-","1","0","0","1","3","0","68","4","1","1"
"*03sgc*","Jordan Ayew","CRY/LEI","M,F","166","KLI","LEI 0<br/>@BOU 2 F","87.2","-","-","1","1","1","1","1","1","14","7","4","0"
"*066sd*","Myles Lewis-Skelly","ARS","D,M","259","SJB","ARS 2<br/>@SOU 1 F","85.51","-","-","1","0","2","0","2","0","58","5","1","1"
"*06nv2*","Dean Huijsen","BOU","D","145","RED","LEI 0<br/>@BOU 2 F","85.38","-","-","1","0","0","0","5","1","71","1","4","1"
"*04adp*","Aaron Wan-Bissaka","WHU","D,M","35","ACB","WHU 3<br/>@IPS 1 F","84.22","-","-","1","0","3","0","3","0","34","4","1","1"
"*05o6h*","Kai Havertz","ARS","M,F","122","RED","ARS 2<br/>@SOU 1 F","83.44","-","-","1","1","1","2","0","1","52","0","3","0"
"*04tig*","Fabian Schar","NEW","D","121","ACB","EVE 1<br/>@NEW 0 F","83","-","-","1","0","0","1","0","0","72","3","3","1"
"*0558w*","William Saliba","ARS","D","56","FA","ARS 2<br/>@SOU 1 F","82.8","-","-","1","0","2","0","2","0","106","1","1","1"
"*06mvz*","Savio","MCI","M,F","133","PMP","MCI 2<br/>@FUL 0 F","82.08","-","-","1","0","2","3","0","0","32","8","0","0"
"*05nzu*","Gabriel Magalhaes","ARS","D","106","FA","ARS 2<br/>@SOU 1 F","81.9","-","-","1","0","1","0","1","0","98","0","4","1"
"*05yg5*","Toti","WOL","D","124","LHO","BRF 1<br/>@WOL 1 F","81.44","-","-","1","0","0","0","4","0","47","2","2","1"
"*0554i*","Joelinton","NEW","M,F","128","FA","EVE 1<br/>@NEW 0 F","79.65","-","-","1","1","1","2","0","1","31","0","3","0"
"*046c5*","Jarrod Bowen","WHU","M,F","14","MOV","WHU 3<br/>@IPS 1 F","79.6","-","-","1","1","1","1","0","0","19","2","2","0"
"*04mdn*","Anthony Gordon","NEW","F","49","RED","EVE 1<br/>@NEW 0 F","79.41","-","-","1","1","2","1","0","0","26","2","0","0"
"*05mxa*","Joel Veltman","BHA","D","225","FA","BHA 4<br/>@TOT 1 F","79.22","-","-","1","0","0","0","2","0","41","2","4","1"
"*050jq*","Marc Guehi","CRY","D","78","NIM","CRY 1<br/>@LIV 1 F","79.02","-","-","1","0","0","0","4","1","40","2","4","1"
"*04o82*","Curtis Jones","LIV","D,M","173","FA","CRY 1<br/>@LIV 1 F","78.81","-","-","1","1","1","1","1","0","36","0","0","0"
"*03zsq*","Kyle Walker-Peters","SOU","D,M","151","FA","ARS 2<br/>@SOU 1 F","78.43","-","-","1","0","3","2","1","0","37","3","1","0"
"*068yp*","Paul Onuachu","SOU","F","224","FA","ARS 2<br/>@SOU 1 F","77.94","-","-","1","0","1","2","1","0","15","1","10","0"
"*068ym*","Enzo Fernandez","CHE","M","36","NOAD","CHE 1<br/>@NOT 0 F","77.47","-","-","1","0","3","1","2","0","57","2","0","0"
"*06cms*","Sandro Tonali","NEW","M","111","LHO","EVE 1<br/>@NEW 0 F","77.4","-","-","1","0","1","1","2","0","65","4","0","0"
"*02lsa*","Dan Burn","NEW","D","107","SJB","EVE 1<br/>@NEW 0 F","77.35","-","-","1","0","0","0","1","0","72","0","3","1"
"*06onx*","Jean-Clair Todibo","WHU","D","222","FA","WHU 3<br/>@IPS 1 F","77.35","-","-","1","0","0","0","4","0","30","0","3","1"
"*06p5s*","Brajan Gruda","BHA","M","308","NOAD","BHA 4<br/>@TOT 1 F","77.27","-","-","1","0","5","1","1","0","23","5","0","0"
"*068yi*","Illia Zabarnyi","BOU","D","132","OSW","LEI 0<br/>@BOU 2 F","76.98","-","-","1","0","3","0","0","0","57","0","2","1"
"*02m11*","Matt Doherty","WOL","D,M","157","FA","BRF 1<br/>@WOL 1 F","76.58","-","-","1","0","0","0","2","1","59","0","5","1"
"*038ze*","Alex Iwobi","FUL","M,F","24","BAR","MCI 2<br/>@FUL 0 F","76.55","-","-","1","0","4","0","0","0","48","7","0","0"
"*06pic*","Andre","WOL","M","210","SJB","BRF 1<br/>@WOL 1 F","76.36","-","-","1","0","1","0","4","0","59","3","0","0"
"*061vn*","Rodrigo Muniz","FUL","F","158","FA","MCI 2<br/>@FUL 0 F","76.31","-","-","1","1","0","2","0","0","2","1","2","0"
"*0554g*","Calvin Bassey","FUL","D","150","FA","MCI 2<br/>@FUL 0 F","76.07","-","-","1","0","0","1","1","0","83","4","1","0"
"*061ya*","Brennan Johnson","TOT","M,F","125","FA","BHA 4<br/>@TOT 1 F","75.95","-","-","1","0","1","3","0","0","34","5","0","0"
"*05r94*","Iliman Ndiaye","EVE","M,F","65","ACB","EVE 1<br/>@NEW 0 F","75.82","-","-","1","1","1","1","1","0","21","0","0","0"
"*05y9n*","Lewis Hall","NEW","D,M","102","FA","EVE 1<br/>@NEW 0 F","75.66","-","-","1","0","1","0","2","0","58","1","0","1"
"*06do9*","Milos Kerkez","BOU","D","54","MOV","LEI 0<br/>@BOU 2 F","75.61","-","-","1","0","2","1","1","0","40","1","0","1"
"*06jgi*","Daniel Munoz","CRY","D,M","44","RED","CRY 1<br/>@LIV 1 F","75.22","-","-","1","0","2","1","3","0","29","0","3","0"
"*03vlj*","Virgil van Dijk","LIV","D","40","MOV","CRY 1<br/>@LIV 1 F","75.07","-","-","1","0","0","0","2","0","103","0","4","0"
"*05akv*","Tyrick Mitchell","CRY","D,M","138","W_W","CRY 1<br/>@LIV 1 F","75.03","-","-","1","0","1","0","4","0","30","2","3","0"
"*04ml6*","Konstantinos Mavropanos","WHU","D","189","FA","WHU 3<br/>@IPS 1 F","74.89","-","-","1","0","0","0","1","0","39","1","4","1"
"*05ogb*","Anthony Elanga","NOT","M,F","50","RED","CHE 1<br/>@NOT 0 F","74.02","-","-","1","1","0","2","0","0","9","1","0","0"
"*062p5*","Levi Colwill","CHE","D","87","BAR","CHE 1<br/>@NOT 0 F","74.02","-","-","1","0","1","0","2","0","59","1","3","0"
"*052k6*","Taylor Harwood-Bellis","SOU","D","188","FA","ARS 2<br/>@SOU 1 F","73.99","-","-","1","0","1","0","0","0","67","1","5","0"
"*06fwx*","Santiago Bueno","WOL","D","216","FA","BRF 1<br/>@WOL 1 F","73.61","-","-","1","0","0","0","1","0","40","0","4","1"
"*03v9d*","Son Heung-Min","TOT","M,F","68","RED","BHA 4<br/>@TOT 1 F","73.36","-","-","1","0","3","1","0","0","35","4","1","0"
"*05a6e*","Neco Williams","NOT","D,M","73","BAR","CHE 1<br/>@NOT 0 F","72.47","-","-","1","0","0","0","3","0","16","4","0","1"
"*06ex4*","Josko Gvardiol","MCI","D","15","RED","MCI 2<br/>@FUL 0 F","71.56","-","-","1","0","0","0","1","0","66","3","2","0"
"*061ve*","Ryan Christie","BOU","M","163","FA","LEI 0<br/>@BOU 2 F","71.56","-","-","1","0","1","0","3","0","36","3","1","0"
"*05r9b*","Martin Odegaard","ARS","M","112","W_W","ARS 2<br/>@SOU 1 F","71.41","-","-","1","0","2","1","0","0","61","1","1","0"
"*06pia*","Maxence Lacroix","CRY","D","83","PMP","CRY 1<br/>@LIV 1 F","71","-","-","1","0","0","0","1","0","37","1","2","1"
