"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*03srg*","Trent Alexander-Arnold","LIV","D","2","ADB","LIV 3<br/>@NEW 1 F","100","-","-","38","4","13","13","34","5","1,871","45","221","15"
"*03gu5*","Andrew Robertson","LIV","D","5","SJB","LIV 3<br/>@NEW 1 F","93.65","-","-","36","2","12","6","31","2","2,086","38","210","14"
"*02oox*","Kevin De Bruyne","MCI","M","6","FUG","NOR 0<br/>@MCI 5 F","93.24","-","-","35","13","20","31","24","3","1,554","18","136","0"
"*03jv0*","Sadio Mane","LIV","M,F","7","NIM","LIV 3<br/>@NEW 1 F","92.23","-","-","35","18","7","36","32","3","901","13","131","0"
"*02vlk*","Cesar Azpilicueta","CHE","D,M","9","NIM","WOL 0<br/>@CHE 2 F","91.06","-","-","36","2","6","6","56","1","1,965","67","172","7"
"*03aqp*","Mohamed Salah","LIV","F","10","MOV","LIV 3<br/>@NEW 1 F","89.82","-","-","34","19","10","59","6","1","749","8","85","0"
"*03vlj*","Virgil van Dijk","LIV","D","12","PNP","LIV 3<br/>@NEW 1 F","87.43","-","-","38","5","1","15","12","1","2,903","40","220","15"
"*04qfy*","Ricardo Pereira","LEI","D,M","14","FA","MUN 2<br/>@LEI 0 F","86.11","-","-","28","3","2","5","68","1","1,240","49","171","9"
"*02oq8*","James Ward-Prowse","SOU","D,M,F","15","ADB","SHU 1<br/>@SOU 3 F","84.13","-","-","38","5","3","26","48","9","1,348","60","249","1"
"*02rlq*","Chris Basham","SHU","D","16","SJB","SHU 1<br/>@SOU 3 F","83.94","-","-","38","0","1","0","48","4","982","77","188","13"
"*03dxq*","Danny Ings","SOU","F","18","PMP","SHU 1<br/>@SOU 3 F","83.11","-","-","38","22","2","38","25","3","403","9","121","0"
"*037mo*","Willian","CHE","M,F","19","BAR","WOL 0<br/>@CHE 2 F","82.92","-","-","36","9","7","29","27","4","1,188","20","185","0"
"*04qrc*","Raul Jimenez","WOL","F","20","SJB","WOL 0<br/>@CHE 2 F","82.83","-","-","38","17","6","44","12","3","716","16","82","0"
"*04mqy*","Pierre-Emerick Aubameyang","ARS","M,F","21","ADB","WAT 2<br/>@ARS 3 F","82","-","-","36","22","3","42","19","6","590","14","92","0"
"*03ybi*","Marcus Rashford","MUN","M,F","22","PNP","MUN 2<br/>@LEI 0 F","81.83","-","-","31","17","7","44","9","3","727","10","81","0"
"*03dyp*","Riyad Mahrez","MCI","M,F","23","PNP","NOR 0<br/>@MCI 5 F","81.69","-","-","33","11","9","32","14","0","988","18","90","0"
"*03rxz*","Roberto Firmino","LIV","M,F","24","KLI","LIV 3<br/>@NEW 1 F","81.51","-","-","38","9","8","39","19","0","924","7","136","0"
"*03gu4*","Harry Maguire","MUN","D","25","SJB","MUN 2<br/>@LEI 0 F","81.14","-","-","38","1","1","8","23","6","2,183","72","237","13"
"*02lkp*","Raheem Sterling","MCI","M,F","26","PMP","NOR 0<br/>@MCI 5 F","80.98","-","-","33","20","1","38","15","5","967","15","96","0"
"*04adp*","Aaron Wan-Bissaka","MUN","D,M","28","BAR","MUN 2<br/>@LEI 0 F","80.37","-","-","35","0","4","1","80","8","1,342","66","179","10"
"*03v9d*","Son Heung-Min","TOT","M,F","29","BAR","TOT 1<br/>@CRY 1 F","79.93","-","-","30","11","10","38","15","3","675","19","127","0"
"*04kj7*","Serge Aurier","TOT","D,M","30","FUG","TOT 1<br/>@CRY 1 F","79.67","-","-","33","1","5","4","69","5","1,013","47","165","8"
"*04agz*","Declan Rice","WHU","M","31","SJB","AVL 1<br/>@WHU 1 F","79.17","-","-","38","1","3","9","60","6","1,491","77","312","0"
"*0427d*","James Tarkowski","BUR","D","32","RED","BHA 2<br/>@BUR 1 F","78.68","-","-","38","2","2","5","43","10","956","63","180","15"
"*04e1c*","Lewis Dunk","BHA","D","33","KLI","BHA 2<br/>@BUR 1 F","78.09","-","-","36","3","3","10","24","9","1,958","55","250","9"
"*04tm0*","Lucas Digne","EVE","D,M","35","MOV","BOU 3<br/>@EVE 1 F","77.71","-","-","35","0","7","4","49","6","1,019","42","182","8"
"*04io4*","Richarlison","EVE","M,F","36","NIM","BOU 3<br/>@EVE 1 F","77.31","-","-","36","13","3","32","47","8","525","12","169","0"
