"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*05gcr*","Bruno Fernandes","MUN","M","1","BAR","MUN 2<br/>@WOL 1 F","100","-","-","-","-","37","18","95","51","30","6","1,654","26","16","0"
"*02lol*","Harry Kane","TOT","F","4","SJB","TOT 4<br/>@LEI 2 F","98.4","-","-","-","-","35","23","49","53","12","1","635","11","76","0"
"*02oq8*","James Ward-Prowse","SOU","M","11","MOV","SOU 0<br/>@WHU 3 F","92.1","-","-","-","-","38","8","60","24","49","5","2,102","42","47","0"
"*03v9d*","Son Heung-Min","TOT","M,F","12","PNP","TOT 4<br/>@LEI 2 F","91.73","-","-","-","-","37","17","75","36","18","0","882","14","20","0"
"*03aqp*","Mohamed Salah","LIV","F","13","BAR","CRY 0<br/>@LIV 2 F","90.58","-","-","-","-","37","22","57","52","9","0","1,057","1","18","0"
"*05gcp*","Tomas Soucek","WHU","M","17","NIM","SOU 0<br/>@WHU 3 F","88.41","-","-","-","-","38","10","18","23","41","10","1,213","62","234","0"
"*04adp*","Aaron Wan-Bissaka","MUN","D,M","19","PMP","MUN 2<br/>@WOL 1 F","86.95","-","-","-","-","34","2","31","4","54","3","1,534","62","38","13"
"*03srg*","Trent Alexander-Arnold","LIV","D","20","NIM","CRY 0<br/>@LIV 2 F","85.25","-","-","-","-","36","2","77","12","33","2","1,890","49","8","11"
"*05ocl*","Ollie Watkins","AVL","F","21","MOV","CHE 1<br/>@AVL 2 F","84.71","-","-","-","-","37","14","45","45","17","5","575","7","136","0"
"*052cd*","Mason Mount","CHE","M,F","22","PNP","CHE 1<br/>@AVL 2 F","84.13","-","-","-","-","36","6","87","27","35","2","1,472","31","21","0"
"*03jv0*","Sadio Mane","LIV","M,F","23","NIM","CRY 0<br/>@LIV 2 F","84.03","-","-","-","-","35","11","61","36","30","3","793","15","36","0"
"*04yo7*","Youri Tielemans","LEI","M","25","BAR","TOT 4<br/>@LEI 2 F","81.79","-","-","-","-","38","6","49","20","45","6","2,028","46","35","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","26","PNP","EVE 0<br/>@MCI 5 F","81.67","-","-","-","-","33","16","18","46","8","3","464","6","154","0"
"*05n02*","Stuart Dallas","LEE","D,M","27","SJB","WBA 1<br/>@LEE 3 F","81.16","-","-","-","-","38","8","26","19","45","7","1,642","44","33","3"
"*0372y*","Matt Targett","AVL","D,M","29","NOAD","CHE 1<br/>@AVL 2 F","80.57","-","-","-","-","38","0","38","2","39","7","1,314","55","71","15"
"*03ek4*","Patrick Bamford","LEE","F","30","RED","WBA 1<br/>@LEE 3 F","79.36","-","-","-","-","38","17","30","48","9","3","393","10","47","0"
"*0435t*","Ilkay Gundogan","MCI","M","31","BAR","EVE 0<br/>@MCI 5 F","78.94","-","-","-","-","28","13","42","22","15","1","1,572","20","12","0"
"*0327r*","Michael Keane","EVE","D","32","RED","EVE 0<br/>@MCI 5 F","78.93","-","-","-","-","35","3","7","6","15","4","1,691","51","111","11"
"*03gu5*","Andrew Robertson","LIV","D","33","BAR","CRY 0<br/>@LIV 2 F","78.63","-","-","-","-","38","1","66","5","34","2","2,263","21","30","12"
"*0570n*","Joao Cancelo","MCI","D,M","34","ADB","EVE 0<br/>@MCI 5 F","78.53","-","-","-","-","28","2","45","11","41","8","1,616","41","30","12"
"*02m5b*","Chris Wood","BUR","F","37","SJB","BUR 0<br/>@SHU 1 F","77.35","-","-","-","-","33","12","22","39","7","0","425","1","154","0"
"*05mzw*","Luke Ayling","LEE","D","38","NOAD","WBA 1<br/>@LEE 3 F","77.21","-","-","-","-","38","0","27","6","61","7","1,881","36","66","11"
"*04qr6*","Ruben Neves","WOL","M","39","NIM","MUN 2<br/>@WOL 1 F","76.38","-","-","-","-","36","5","33","16","46","8","1,671","65","26","0"
"*0427d*","James Tarkowski","BUR","D","40","SJB","BUR 0<br/>@SHU 1 F","75.58","-","-","-","-","36","1","12","6","39","6","882","44","165","11"
"*03dyk*","Jamie Vardy","LEI","F","41","NOAD","TOT 4<br/>@LEI 2 F","75.38","-","-","-","-","34","15","28","38","12","1","293","4","50","0"
"*04spq*","Jack Harrison","LEE","M,F","42","MOV","WBA 1<br/>@LEE 3 F","75.31","-","-","-","-","36","8","59","19","38","2","732","15","26","0"
"*05n0b*","Matheus Pereira","WBA","M,F","43","NOAD","WBA 1<br/>@LEE 3 F","74.56","-","-","-","-","33","11","60","28","15","5","747","29","13","0"
"*04tm0*","Lucas Digne","EVE","D,M","45","ADB","EVE 0<br/>@MCI 5 F","74.14","-","-","-","-","30","0","46","0","38","5","982","31","92","9"
"*05mzx*","Liam Cooper","LEE","D","46","NIM","WBA 1<br/>@LEE 3 F","73.91","-","-","-","-","25","1","0","9","45","7","1,412","61","96","6"
"*03gu4*","Harry Maguire","MUN","D","47","RED","MUN 2<br/>@WOL 1 F","73.87","-","-","-","-","34","2","7","10","17","11","1,944","60","135","13"
"*03rxz*","Roberto Firmino","LIV","M,F","48","NIM","CRY 0<br/>@LIV 2 F","73.2","-","-","-","-","36","9","44","34","15","2","1,050","11","22","0"
"*04qra*","Romain Saiss","WOL","D,M","49","BAR","MUN 2<br/>@WOL 1 F","72.66","-","-","-","-","27","3","5","11","24","2","1,158","52","71","5"
"*05opk*","Vladimir Coufal","WHU","D,M","50","NIM","SOU 0<br/>@WHU 3 F","72.62","-","-","-","-","34","0","45","5","36","3","911","41","53","6"
"*0524k*","Rodri","MCI","M","51","FUG","EVE 0<br/>@MCI 5 F","72.36","-","-","-","-","34","2","33","8","40","6","2,542","36","80","0"
"*03arh*","Kurt Zouma","CHE","D","52","ADB","CHE 1<br/>@AVL 2 F","72.28","-","-","-","-","24","5","4","12","10","3","1,613","28","87","9"
"*04s60*","Jannik Vestergaard","SOU","D","53","MOV","SOU 0<br/>@WHU 3 F","72.14","-","-","-","-","30","3","7","8","31","6","1,473","42","98","6"
"*03ybi*","Marcus Rashford","MUN","M,F","54","PMP","MUN 2<br/>@WOL 1 F","72","-","-","-","-","37","11","43","37","9","4","976","8","25","0"
"*03rec*","Tyrone Mings","AVL","D","55","PNP","CHE 1<br/>@AVL 2 F","71.67","-","-","-","-","36","2","7","7","16","7","1,308","41","91","15"
"*051k7*","Reece James","CHE","D,M","56","MOV","CHE 1<br/>@AVL 2 F","71.64","-","-","-","-","32","1","42","11","35","3","1,499","17","40","8"
"*04fk9*","Jan Bednarek","SOU","D","57","NOAD","SOU 0<br/>@WHU 3 F","71.36","-","-","-","-","36","1","5","6","19","8","1,705","84","98","9"
"*04agz*","Declan Rice","WHU","M","58","NIM","SOU 0<br/>@WHU 3 F","71.3","-","-","-","-","32","2","23","8","35","2","1,343","59","44","0"
