"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*03aqp*","Mohamed Salah","LIV","F","2","FUG","WOL 1<br/>@LIV 3 F","100","-","-","35","23","13","60","8","1","862","76","7","0"
"*02lol*","Harry Kane","TOT","F","3","PMP","TOT 5<br/>@NOR 0 F","98.57","-","-","37","17","9","55","5","5","614","108","75","0"
"*03v9d*","Son Heung-Min","TOT","M,F","6","ADB","TOT 5<br/>@NOR 0 F","95.1","-","-","35","23","7","49","6","2","879","87","16","0"
"*0570n*","Joao Cancelo","MCI","D,M","8","RED","AVL 2<br/>@MCI 3 F","92.95","-","-","36","1","7","23","54","7","2,516","82","57","19"
"*02oox*","Kevin De Bruyne","MCI","M","11","BAR","AVL 2<br/>@MCI 3 F","87.8","-","-","30","15","8","31","16","2","1,121","58","12","0"
"*046c5*","Jarrod Bowen","WHU","M,F","12","NIM","WHU 1<br/>@BHA 3 F","87.63","-","-","36","12","10","34","20","6","544","93","38","0"
"*03jv0*","Sadio Mane","LIV","F","13","BAR","WOL 1<br/>@LIV 3 F","86.99","-","-","34","16","2","39","20","5","801","97","30","0"
"*03v6w*","Ivan Toney","BRF","F","14","SJB","LEE 2<br/>@BRF 1 F","86.55","-","-","33","12","5","30","21","8","432","104","147","0"
"*0414o*","James Maddison","LEI","M,F","16","KLI","SOU 1<br/>@LEI 4 F","85.12","-","-","35","12","8","34","20","3","771","95","5","0"
"*04qr8*","Diogo Jota","LIV","F","17","ADB","WOL 1<br/>@LIV 3 F","84.65","-","-","35","15","4","33","18","3","557","67","37","0"
"*04y92*","Bukayo Saka","ARS","M,F","19","MOV","EVE 1<br/>@ARS 5 F","82.88","-","-","38","11","7","31","21","6","844","102","23","0"
"*0435s*","Joel Matip","LIV","D","21","FUG","WOL 1<br/>@LIV 3 F","80.69","-","-","31","3","3","9","34","2","2,053","20","109","17"
"*03vll*","Michail Antonio","WHU","F","22","SJB","WHU 1<br/>@BHA 3 F","80.68","-","-","36","10","8","29","17","9","415","102","79","0"
"*02lkp*","Raheem Sterling","MCI","M,F","23","PMP","AVL 2<br/>@MCI 3 F","79.09","-","-","30","13","5","28","10","1","700","90","4","0"
"*05w7s*","Cristiano Ronaldo","MUN","F","25","RED","MUN 0<br/>@CRY 1 F","78.2","-","-","30","18","3","43","6","8","720","38","42","0"
"*0327v*","Wilfried Zaha","CRY","M,F","26","BAR","MUN 0<br/>@CRY 1 F","78.11","-","-","33","14","1","32","20","7","726","176","12","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","27","NOAD","WOL 1<br/>@LIV 3 F","77.7","-","-","32","2","12","15","23","2","1,684","26","15","18"
"*05gcr*","Bruno Fernandes","MUN","M,F","28","NIM","MUN 0<br/>@CRY 1 F","77.49","-","-","36","10","6","29","28","10","1,488","73","19","0"
"*052cd*","Mason Mount","CHE","M,F","29","BAR","WAT 1<br/>@CHE 2 F","77.23","-","-","32","11","10","29","16","4","952","41","6","0"
"*05tz8*","Emmanuel Dennis","WAT","M,F","30","BAR","WAT 1<br/>@CHE 2 F","77.11","-","-","33","10","6","26","35","10","393","108","45","0"
"*05os7*","Raphinha","LEE","M,F","31","SJB","LEE 2<br/>@BRF 1 F","76.85","-","-","35","11","3","25","29","7","744","109","23","0"
"*05ocl*","Ollie Watkins","AVL","F","33","MOV","AVL 2<br/>@MCI 3 F","75.03","-","-","35","11","2","32","13","7","478","76","65","0"
"*0524k*","Rodri","MCI","M","34","FUG","AVL 2<br/>@MCI 3 F","74.88","-","-","33","7","2","14","43","5","2,629","32","85","0"
"*03vlj*","Virgil van Dijk","LIV","D","35","PMP","WOL 1<br/>@LIV 3 F","74.87","-","-","34","3","1","14","10","3","2,369","14","117","21"
"*04io4*","Richarlison","EVE","M,F","36","PMP","EVE 1<br/>@ARS 5 F","74.83","-","-","30","10","5","23","23","9","332","108","66","0"
"*045c8*","Gabriel Jesus","MCI","F","37","MOV","AVL 2<br/>@MCI 3 F","74.83","-","-","28","8","8","25","12","1","627","72","21","0"
"*05o4b*","Matty Cash","AVL","D,M","39","KLI","AVL 2<br/>@MCI 3 F","74.33","-","-","38","4","3","13","50","8","883","71","42","10"
"*04yo7*","Youri Tielemans","LEI","M","40","BAR","SOU 1<br/>@LEI 4 F","72.99","-","-","32","6","4","17","38","3","1,426","61","24","0"
"*04fk6*","Bernardo Silva","MCI","M,F","41","NOAD","AVL 2<br/>@MCI 3 F","72.58","-","-","35","8","4","20","29","6","1,692","86","7","0"
"*0520r*","Leandro Trossard","BHA","M,F","42","MOV","WHU 1<br/>@BHA 3 F","72.4","-","-","34","8","3","27","20","2","873","82","9","0"
"*02oq8*","James Ward-Prowse","SOU","M","44","PMP","SOU 1<br/>@LEI 4 F","71.94","-","-","36","10","5","24","24","6","1,577","27","27","0"
"*051k8*","Conor Gallagher","CRY","M","45","MOV","MUN 0<br/>@CRY 1 F","71.08","-","-","34","8","3","22","37","10","852","108","23","0"
"*051k0*","John McGinn","AVL","M","46","FUG","AVL 2<br/>@MCI 3 F","70.95","-","-","35","3","4","16","64","8","987","124","23","0"
"*04abn*","Harvey Barnes","LEI","M,F","47","ADB","SOU 1<br/>@LEI 4 F","70.45","-","-","32","6","10","24","16","2","538","51","24","0"
"*05nzu*","Gabriel Magalhaes","ARS","D","48","KLI","EVE 1<br/>@ARS 5 F","70.16","-","-","35","5","0","12","30","9","1,824","42","55","13"
"*04spq*","Jack Harrison","LEE","M,F","49","FA","LEE 2<br/>@BRF 1 F","69.87","-","-","35","8","1","17","37","3","613","77","19","0"
"*03gu5*","Andrew Robertson","LIV","D","51","FUG","WOL 1<br/>@LIV 3 F","69.22","-","-","29","3","10","8","21","8","1,642","22","26","17"
"*05oyq*","Said Benrahma","WHU","M,F","52","NIM","WHU 1<br/>@BHA 3 F","68.92","-","-","32","8","6","22","17","0","618","52","10","0"
"*05tr1*","Ethan Pinnock","BRF","D","53","FA","LEE 2<br/>@BRF 1 F","68.75","-","-","32","1","1","9","35","1","1,067","23","143","7"
"*051k7*","Reece James","CHE","D,M","54","PMP","WAT 1<br/>@CHE 2 F","68.44","-","-","26","5","9","10","25","7","1,235","67","17","3"
"*05gcp*","Tomas Soucek","WHU","M","55","BAR","WHU 1<br/>@BHA 3 F","68.21","-","-","35","5","1","12","32","3","1,030","28","134","0"
"*04abb*","Phil Foden","MCI","M,F","56","KLI","AVL 2<br/>@MCI 3 F","68.1","-","-","28","9","5","22","8","1","839","60","5","0"
"*03dyp*","Riyad Mahrez","MCI","M,F","57","SJB","AVL 2<br/>@MCI 3 F","68.07","-","-","28","11","5","23","3","0","743","41","8","0"
"*043qz*","Pierre-Emile Hojbjerg","TOT","M","58","RED","TOT 5<br/>@NOR 0 F","67.75","-","-","36","2","2","11","45","3","2,270","81","23","0"
"*0522s*","Che Adams","SOU","F","60","FA","SOU 1<br/>@LEI 4 F","67.01","-","-","30","7","3","24","6","0","303","60","62","0"
"*0554i*","Joelinton","NEW","M,F","61","PMP","NEW 2<br/>@BUR 1 F","66.43","-","-","35","4","1","14","38","8","707","70","99","0"
"*05tr8*","Christian Norgaard","BRF","M","62","SJB","LEE 2<br/>@BRF 1 F","66.4","-","-","35","3","4","9","60","8","1,331","51","50","0"
"*05r9b*","Martin Odegaard","ARS","M,F","63","PMP","EVE 1<br/>@ARS 5 F","66.27","-","-","36","7","4","21","21","4","1,341","45","15","0"
"*050jq*","Marc Guehi","CRY","D","64","PMP","MUN 0<br/>@CRY 1 F","65.89","-","-","36","2","1","5","17","4","2,051","46","68","11"
"*05trb*","Bryan Mbeumo","BRF","M,F","65","PMP","LEE 2<br/>@BRF 1 F","65.51","-","-","35","4","7","22","16","4","504","77","29","0"
"*051kl*","Emiliano Buendia","AVL","M,F","66","NOAD","AVL 2<br/>@MCI 3 F","65.17","-","-","35","4","6","13","18","1","694","84","19","0"
"*05w9i*","Marc Cucurella","BHA","D,M","68","NOAD","WHU 1<br/>@BHA 3 F","64.67","-","-","35","1","1","3","62","6","1,558","58","40","6"
"*05omu*","Ruben Dias","MCI","D","69","FUG","AVL 2<br/>@MCI 3 F","64.42","-","-","29","2","4","3","19","5","2,117","11","51","17"
"*051ks*","Teemu Pukki","NOR","F","70","KLI","TOT 5<br/>@NOR 0 F","64.38","-","-","37","11","3","27","11","4","394","52","15","0"
"*05akv*","Tyrick Mitchell","CRY","D","71","MOV","MUN 0<br/>@CRY 1 F","64.05","-","-","36","0","2","0","57","1","1,074","30","29","11"
"*04sat*","Emile Smith Rowe","ARS","M","72","MOV","EVE 1<br/>@ARS 5 F","64.04","-","-","33","10","2","23","7","1","670","53","7","0"
"*0435t*","Ilkay Gundogan","MCI","M","73","KLI","AVL 2<br/>@MCI 3 F","63.99","-","-","27","8","4","19","9","1","1,157","34","11","0"
"*04p0d*","Dwight McNeil","BUR","M","74","FUG","NEW 2<br/>@BUR 1 F","63.99","-","-","38","0","1","15","49","1","730","126","13","0"
"*056iw*","Allan Saint-Maximin","NEW","M,F","75","KLI","NEW 2<br/>@BUR 1 F","63.89","-","-","35","5","5","26","8","6","515","198","18","0"
"*05mxa*","Joel Veltman","BHA","D,M","76","FA","WHU 1<br/>@BHA 3 F","63.86","-","-","34","1","1","3","48","6","1,263","54","57","6"
"*051k3*","Jacob Ramsey","AVL","M,F","77","NIM","AVL 2<br/>@MCI 3 F","63.84","-","-","34","6","1","11","44","6","882","74","16","0"
"*05nt7*","Thiago Silva","CHE","D","78","BAR","WAT 1<br/>@CHE 2 F","63.63","-","-","32","3","0","5","21","2","2,432","18","57","11"
"*04g1w*","Antonio Rudiger","CHE","D","79","NOAD","WAT 1<br/>@CHE 2 F","63.55","-","-","34","3","0","13","28","9","2,199","18","56","14"
"*04mdn*","Anthony Gordon","EVE","M,F","80","ADB","EVE 1<br/>@ARS 5 F","63.52","-","-","35","4","2","18","32","4","455","102","17","0"
"*03dyk*","Jamie Vardy","LEI","F","81","SJB","SOU 1<br/>@LEI 4 F","63.34","-","-","25","15","2","26","5","2","182","21","24","0"
"*0522h*","Alexis Mac Allister","BHA","M,F","82","NIM","WHU 1<br/>@BHA 3 F","63.33","-","-","33","5","2","11","40","4","840","60","25","0"
"*0372y*","Matt Targett","AVL/NEW","D,M","83","ADB","NEW 2<br/>@BUR 1 F","63.2","-","-","33","1","1","6","44","3","884","33","51","8"
"*03zsq*","Kyle Walker-Peters","SOU","D,M","84","ADB","SOU 1<br/>@LEI 4 F","62.98","-","-","32","1","2","7","33","5","885","111","27","5"
