"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*068y0*","Antoine Semenyo","MCI","M,F","2","ACB","","100","100%","0%","32","15","35","38","31","7","645","66","58","0"
"*04qr9*","Morgan Gibbs-White","NOT","M,F","3","NIM","NOT 5<br/>@SUN 0 F","97.52","100%","0%","34","13","45","28","14","1","920","64","40","0"
"*06mn0*","Igor Thiago","BRF","F","6","BAR","@MUN Mon 9:00PM","94.27","99%","0%","33","21","20","39","20","6","388","50","100","0"
"*05g2o*","Joao Pedro","CHE","M,F","7","LHO","","93.18","100%","0%","32","14","28","27","16","4","482","78","66","0"
"*061vq*","Erling Haaland","MCI","F","9","RED","","90.93","100%","0%","32","24","22","53","9","2","222","39","69","0"
"*05opj*","Elliot Anderson","NOT","M","11","NIM","NOT 5<br/>@SUN 0 F","88.09","99%","0%","34","3","49","9","59","7","1,846","117","65","0"
"*05gcr*","Bruno Fernandes","MUN","M,F","13","BAR","BRF Mon 9:00PM","85.88","100%","0%","30","8","109","21","28","4","1,434","49","19","0"
"*05uht*","Morgan Rogers","AVL","M,F","14","LHO","@FUL Sat 1:30PM","85.8","100%","0%","33","9","42","31","18","6","725","80","26","0"
"*067yz*","Matheus Cunha","MUN","M,F","15","SJB","BRF Mon 9:00PM","84.69","100%","0%","30","8","29","32","19","3","637","89","28","0"
"*05a6e*","Neco Williams","NOT","D,M","16","PMP","NOT 5<br/>@SUN 0 F","84.59","99%","+1%","33","2","34","18","55","9","977","77","37","9"
"*05ylj*","Bruno Guimaraes","NEW","M","17","LHO","@ARS Sat 6:30PM","84.09","99%","+1%","24","9","39","18","37","5","1,033","68","11","0"
"*04y92*","Bukayo Saka","ARS","M,F","18","KLI","NEW Sat 6:30PM","83.64","100%","0%","27","6","52","26","17","1","524","100","22","0"
"*068ym*","Enzo Fernandez","CHE","M","19","NOAD","","83.48","100%","0%","32","8","57","28","21","8","1,564","51","23","0"
"*067x8*","Nico O'Reilly","MCI","D,M","21","MOV","","82.16","84%","0%","31","5","21","14","35","4","1,054","37","44","10"
"*05r94*","Iliman Ndiaye","EVE","M,F","22","MOV","@WHU Sat 4:00PM","81.81","99%","0%","27","6","27","18","41","2","691","92","10","0"
"*046c5*","Jarrod Bowen","WHU","M,F","23","RED","EVE Sat 4:00PM","81.64","100%","0%","33","8","36","24","25","5","517","95","27","0"
"*049tq*","Dominic Calvert-Lewin","LEE","F","24","ACB","","81.46","82%","0%","31","11","17","30","4","1","231","42","112","0"
"*06dmj*","Jurrien Timber","ARS","D","26","FA","NEW Sat 6:30PM","80.42","97%","0%","30","3","27","7","37","5","925","42","40","15"
"*050jq*","Marc Guehi","MCI","D","27","NOAD","","79.73","98%","0%","31","3","16","9","27","6","1,767","35","90","12"
"*067yv*","Cody Gakpo","LIV","M,F","28","KLI","CRY Sat 4:00PM","79.42","100%","0%","31","6","49","19","14","2","533","70","43","0"
